№,Имя сущности,Атрибут,Мнемоника,Описание,Тип данных,Обязательность
1_1,Клиент,Идентификатор,client_id,Уникальный числовой идентификатор,INT,Да
1_2,Клиент,Имя пользователя,client_name,Строка до 100 символов,VARCHAR(100),Да
1_3,Клиент,Канал связи,client_contact_channel,Перечисление: телефон/email/мессенджер,ENUM,Да
1_4,Клиент,Пароль,client_password,Пароль до 30 символов,VARCHAR(30),Да
1_5,Клиент,Номер телефона,client_phone,Строка до 20 символов,VARCHAR(20),Да
1_6,Клиент,Дата регистрации,client_registration_date,Дата и время регистрации,DATETIME,Да
1_7,Клиент,Статус,client_status,Перечисление: активен/заблокирован,ENUM,Да
1_8,Клиент,Филиал по умолчанию,client_branch,Внешний ключ на таблицу Филиал,INT,Нет
2_1,Сотрудник,Идентификатор,employee_id,Уникальный числовой идентификатор,INT,Да
2_2,Сотрудник,Имя пользователя,employee_name,Строка до 100 символов,VARCHAR(100),Да
2_3,Сотрудник,Пароль,employee_password,Пароль до 30 символов,VARCHAR(30),Да
2_4,Сотрудник,Номер телефона,employee_phone,Строка до 20 символов,VARCHAR(20),Да
2_5,Сотрудник,Адрес электронной почты,employee_email,Email до 100 символов,VARCHAR(100),Да
2_6,Сотрудник,Идентификатор филиала,employee_branch,Внешний ключ на таблицу Филиал,INT,Да
2_7,Сотрудник,Дата найма,employee_hire_date,Дата в формате ГГГГ-ММ-ДД,DATE,Да
2_8,Сотрудник,Статус,employee_status,Перечисление: активен/уволен/в отпуске,ENUM,Да
2_9,Сотрудник,Идентификатор роли,employee_role,Внешний ключ на таблицу Роль,INT,Да
2_10,Сотрудник,Описание,employee_description,Текстовое поле неограниченной длины,TEXT,Нет
3_1,Запись,Идентификатор,booking_id,Уникальный числовой идентификатор,INT,Да
3_2,Запись,Время начала,booking_start_time,Дата и время начала услуги,DATETIME,Да
3_3,Запись,Время окончания,booking_end_time,Дата и время окончания услуги,DATETIME,Да
3_4,Запись,Идентификатор мастера,booking_master,Внешний ключ на таблицу Сотрудник,INT,Да
3_5,Запись,Идентификатор клиента,booking_client,Внешний ключ на таблицу Клиент,INT,Да
3_6,Запись,Идентификатор помещения,booking_room,Внешний ключ на таблицу Помещение,INT,Да
3_7,Запись,Идентификатор услуги,booking_service,Внешний ключ на таблицу Услугу,INT,Да
3_8,Запись,Статус,booking_status,Перечисление: подтверждена/отменена/завершена/неявка,ENUM,Да
3_9,Запись,Комментарий клиента,booking_comment,Текстовое поле неограниченной длины,TEXT,Нет
4_1,Отзыв,Идентификатор,review_id,Уникальный числовой идентификатор,INT,Да
4_2,Отзыв,Текст,review_text,Текстовое поле неограниченной длины,TEXT,Да
4_3,Отзыв,Дата,review_date,Дата и время создания отзыва,DATETIME,Да
4_4,Отзыв,Идентификатор записи,review_booking,Внешний ключ на таблицу Запись,INT,Да
4_5,Отзыв,Оценка,review_rating,Число от 1 до 5,INT,Да
5_1,Услуга,Идентификатор,service_id,Уникальный числовой идентификатор,INT,Да
5_2,Услуга,Название,service_name,Строка до 100 символов,VARCHAR(100),Да
5_3,Услуга,Тип,service_type,Перечисление: стрижка/борода/комплекс/уход,ENUM,Да
5_4,Услуга,Стоимость,service_price,Число с 2 знаками после запятой,DECIMAL(10;2),Да
5_5,Услуга,Продолжительность,service_duration,Длительность в минутах,INT,Да
5_6,Услуга,Категория,service_category,Внешний ключ на таблицу Категория,INT,Нет
6_1,Роль,Идентификатор,role_id,Уникальный числовой идентификатор,INT,Да
6_2,Роль,Название роли,role_name,Строка до 50 символов,VARCHAR(50),Да
6_3,Роль,Разрешения,role_permissions,JSON-объект с правами доступа,JSON,Да
7_1,Уборка,Идентификатор,cleaning_id,Уникальный числовой идентификатор,INT,Да
