Идент.,Стейкхолдер,№,Интересы,№_,Потребности,№__,Проблемы
st001,Собственник стартапа,1,Объем бизнеса,1,Расширить базу поставщиков,1,Отсутствие роста базы поставщиков
,,2,Размер базы поставщиков,2,Повысить скорость и качество доставки,2,Курьеры слишком много времени тратят на ожидание и обмен информацией
,,3,Рентабельность бизнеса,3,Снизить трудозатраты сотрудников на получение необходимой информации,3,Неоптимальное количество курьеров на смене/ снижение эффективности
,,4,Масштабируемость проекта,4,Снизить ошибки и неточности при обмене информацией между ролями,4,В пиковые периоды оператор не успевает обрабатывать заказы
,,,,5,Получать отчеты по проделанной работе,5,Отстутствие показателей эффективности
,,,,,,6,Курьер может доставить отмененный заказ
st002,Поставщики,1,Размер клиентской базы,1,Расширить клиентскую базу,1,Ошибки в расчете за доставку
,,2,Выручка,2,Повысить лояльность клиентов,2,Снижение лояльности клиентов при проблемах с доставкой
,,3,Качество услуг ,3,Повысить скорость и качество доставки,3,Разборки при появлении брака
,,4,Прозрачность расчетов за доставку,4,Снизить количество бракованых товаров,,
,,,,5,Получать информацию о статусе доставки заказов,,
,,,,6,Автоматическая передача данных для оплаты,,
,,,,7,Снизить количество конфликтных ситуаций (когда не понятно на какой стадии произошел брак),,
st003,Администратор,1,Эффективность работы системы,1,Контролировать количество сотрудников в системе,1,Нехватка курьеров на смене для доставки заказов
,,2,Сотрудники,2,Снизить количество споров с поставщиками и клиентами,2,Наличие лишних сотрудников в системе
,,3,Безопасность данных,3,Управление правами доступа всех пользователей,,
,,,,4,Просмотр журнала действий,,
,,,,5,Поиск новых поставщиков,,
st004,Оператор,1,Скорость предоставления информации,1,Ускорить обмен информацией с поставщиками/ курьерами,1,В пиковые периоды оператор не успевает обрабатывать заказы
,,,Удобство и скорость ввода данных,2,Возможность массового ввода заказов,2,Ошибки при ручном вводе данных
,,,Минимизация монотонной работы,3,Автоматическая проверка на ошибки,3,Долгое время обработки каждого заказа
,,,,4,Избежать ошибок в передаче информации,,
st005,Диспетчер,1,Эффективность распределения заказов,1,Оптимизировать время выполнения заказов,1,Недовольство курьеров при отсутствии заказов/ отменах/ любой лишней работе
,,2,Лояльность курьеров,2,Ускорить решение проблем/ возникающих в ходе доставки,2,Нехватка курьеров на смене для доставки заказов
,,3,Загруженность курьеров,3,Снизить количество брака/ нарушений правил,3,Отсутствие информации о загруженности курьеров
,,4,Оперативность решения проблем,4,Мониторинг местоположения курьеров,4,Нет возможности отслеживать заказ/курьера в реальном времени
,,,,5,Возможность переназначать заказы между курьерами,5,Необходимость звонить при любом изменении статуса
st006,Курьеры,1,Средний заработок за заказ,1,Доставить большее количество заказов,1,Отсутствие информации по заказам/ долгая передача
,,2,Расстояние от места погрузки до места доставки,2,Потратить как можно меньше времени на каждый заказ,2,Невозможность оперативно выбрать заказ/ проставить рабочие часы
,,3,Прозрачность системы зп и штрафов,3,Снизить трудозатраты на каждый заказ,3,Нужно постоянно быть на связи с диспетчером
,,4,Трудозатраты,4,Оперативно получать всю информацию о заказе (статус/ место доставки и др),4,Споры с начальством о размере оплаты
,,5,Удобство приложения,5,Знать сколько курьер заработал за промежуток времени,5,Несправедливые штрафы из-за невозможности установить виновного
,,,,6,История выполненных заказов,,
st007,Разработчик приложения,1,Стабильность и производительность системы,1,Разработать приложение,1,Ошибки в коде
,,2,Качество кода,2,Оптимизировать приложение/ исправлять баги,2,Неполные или неясные требования к системе
,,3,Масштабируемость системы,3,Тестовая среда для разработки,,
,,,,4,Четкие технические требования,,
,,,,5,Добавлять новые функции,,
st008,Клиент (заказчик доставки),1,Скорость доставки,1,Получить заказ в срок,1,Задержка заказа
,,2,Качество доставки,2,Получить качественный заказ,2,Получение бракованного заказа
,,3,Стоимость доставки,3,Связаться с диспетчером для уточнения информации,3,Невозможно уточнить детали
st009,Бугхалтер,1,Точность финансовых данных,1,Расчет с поставщиками и курьерами,1,Расхождения в данных о заказах
,,2,Своевременность получения информации,2,Формирование отчетов,2,Задержки в получении информации
,,,,,,3,Ручной ввод данных
st010,Регулятор,1,Отстутствие нарушений закона,1,Получение информации о доходах и расходах проекта,1,Отсутствие аудита в системе
,,2,Защита персональных данных,2,Выявление нарушений,,
st011,Маркетолог,1,Привлечение поставщиков,1,Повысить узнаваемость стартапа/ желание поставщиков сотрудничать,1,Отсутствие роста базы поставщиков
,,2,Реклама и личный бренд стартапа,2,Расширить базу поставщиков,2,Стартап проигрывает конкурентам в скорости/ качеству доставки
st012,HR,1,Привлечение сотрудников,1,Комфортные условия работы для сотрудников,1,Условия труда ниже рынка
,,2,Продуктивность сотрудников,,,,
