Идентификатор,Роль,Действие,as is (по телефону),as is (очно),Проблемы,to be (в системе),to be (очно),Решение проблемы
st001,Собственник стартапа,Просматривать отчеты по проделанной работе,-,+,Отстутствие показателей эффективности,-,+,Система позволит фиксировать числовые данные (время доставки/ расстояние)/ что создаст возможность их анализа
st001,Собственник стартапа,Разрабатывать стратергию развития проекта,-,+,,-,+,
st002,Поставщики,Расчет за доставку,-,-,Ошибки в расчете за доставку,-,-,Система поможет избежать неточностей в расчетах
st002,Поставщики,Связь с диспетчером при возникновении проблем,+,-,"Снижение лояльности клиентов при проблемах с доставкой
Разборки при появлении брака",-,-,Установление причины/времени появления проблемы с помощью журнала действий
st003,Администратор,Назначать права доступа,-,-,,+,-,
st003,Администратор,Просматривать журнал действий,-,-,Несправедливые штрафы из-за невозможности установить виновного,+,-,Установление ответственного за появление проблемы с помощью журнала действий
st003,Администратор,Устанавливать необходимое количество курьеров на смене,-,-,"Нехватка курьеров на смене для доставки заказов
Недовольство курьеров при отсутствии заказов/ отменах/ любой лишней работе",+,-,На рабочую смену сможет записаться ограниченное число курьеров. Потребность в курьерах определяет администратор. Если записалось меньше необходимого количества/ диспетчер назначает курьеров на смену
st003,Администратор,Добавлять новых поставщиков,-,+,,+,+,
st003,Администратор,Просматривать список поставщиков и их контакты,-,+,,+,+,
st003,Администратор,Составлять отчеты по проделанной работе,-,+,Отстутствие показателей эффективности,-,+,Система позволит фиксировать числовые данные (время доставки/ расстояние)/ что создаст возможность их анализа
st004,Оператор,Ввод информации по новым заказам/отменам/изменениям,-,-,"В пиковые периоды оператор не успевает обрабатывать заказы
Ошибки при ручном вводе данных
Долгое время обработки каждого заказа",+,-,Система позволит ускорить работу за счет шаблонов/масок для ввода данных. Возможность массовой подгрузки заказов
st005,Диспетчер,Просмотр информации по заказам,+,+,Отсутствие информации по заказам,+,+,Создание внутри системы базы данных с заказами. Она будет содержать всю необходимую информацию по каждому заказу
st005,Диспетчер,Возможность связаться с клиентом/курьером,+,-,,-,-,
st005,Диспетчер,Возможность назначить/изменить курьера выполняющего заказ,+,-,Нет возможности отслеживать заказ/курьера в реальном времени,+,-,Создание внутри системы базы данных с курьерами. Она будет содержать данные по курьерам/ обновляемые в реальном времени
st005,Диспетчер,Просмотр списка курьеров на смене,-,-,Нет возможности отслеживать заказ/курьера в реальном времени,+,-,Создание внутри системы базы данных с курьерами. Она будет содержать данные по курьерам/ обновляемые в реальном времени
st005,Диспетчер,Просмотр местоположения каждого курьера,-,-,Нет возможности отслеживать заказ/курьера в реальном времени,+,-,Создание внутри системы базы данных с курьерами. Она будет содержать данные по курьерам/ обновляемые в реальном времени
st006,Курьеры,Просмотр списка новых заказов,-,-,Отсутствие информации по заказам,+,-,Создание внутри системы базы данных с заказами. Она будет содержать всю необходимую информацию по каждому заказу
st006,Курьеры,Выбор заказа,-,-,Невозможность оперативно выбрать заказ/ проставить рабочие часы,+,-,Создание внутри системы базы данных с заказами. Курьер имеет возможность изменять статус заказа
st006,Курьеры,Просмотр информации по каждому заказу,-,-,"Отсутствие информации по заказам
Курьеры слишком много времени тратят на ожидание и обмен информацией",+,-,Создание внутри системы базы данных с заказами. Она будет содержать всю необходимую информацию по каждому заказу
st006,Курьеры,Просмотр заработанных средств за период,-,+,Споры с начальством о размере оплаты,+,+,Прозрачная система оплаты/ возможность посмотреть начисленные средства за каждый отдельный заказ/отчетный период
st006,Курьеры,Просмотр истории заказов,-,-,,+,+,
st006,Курьеры,Возможность связаться с диспетчером,+,+,,-,+,
st006,Курьеры,Назначение рабочих смен/часов,+,-,Невозможность оперативно выбрать заказ/ проставить рабочие часы,+,-,Возможность забронировать рабочие смены/отменить бронь
st006,Курьеры,Добавление личной информации,-,+,,+,+,
st006,Курьеры,Получение уведомления об отмене заказа,+,-,Курьер может доставить отмененный заказ,+,-,Автоматизированные оперативные напоминания при смене статуса
st006,Курьеры,Изменение статуса заказа,+,-,"Нужно постоянно быть на связи с диспетчером
Необходимость звонить при любом изменении статуса",+,-,Автоматизированные оперативные напоминания при смене статуса
st006,Курьеры,Получение уведомления об изменении информации в заказе,+,-,"Нужно постоянно быть на связи с диспетчером
Необходимость звонить при любом изменении статуса",+,-,Автоматизированные оперативные напоминания при смене статуса
st006,Курьеры,Получение уведомления о назначении/переназначении заказа диспетчером,+,-,"Нужно постоянно быть на связи с диспетчером
Необходимость звонить при любом изменении статуса",+,-,Автоматизированные оперативные напоминания при смене статуса
st007,Разработчик приложения,Тестирование приложения,-,-,,+,-,
st007,Разработчик приложения,Добавление новых функций,-,-,,+,-,
st007,Разработчик приложения,Выполнение действий с любой роли проекта,-,-,,+,-,
st007,Разработчик приложения,Просмотр кода,-,-,,+,-,
st008,Клиент (заказчик доставки),Связь с диспетчером,+,-,,-,-,
st009,Бугхалтер,Получение информации о поступивших заказах,-,+,"Задержки в получении информации
Ручной ввод данных",+,+,Информация о заказах оперативно доставляется в бухгалтерскую программу
st009,Бугхалтер,Получение данных о всех доставленных заказах,-,+,"Задержки в получении информации
Ручной ввод данных",+,+,Информация о заказах оперативно доставляется в бухгалтерскую программу
st009,Бугхалтер,Расчет оплаты для курьеров,-,+,Расхождения в данных о заказах,-,+,Информация о заказах точная/ исключается возможность ошибок в отчетности
st009,Бугхалтер,Расчет оплаты для поставщиков,-,+,Расхождения в данных о заказах,-,+,Информация о заказах точная/ исключается возможность ошибок в отчетности
st009,Бугхалтер,Отправление информации по начисленной оплате курьерам,-,+,,+,+,
st009,Бугхалтер,Заполнение финсновой отчетности,-,+,Расхождения в данных о заказах,-,+,Информация о заказах точная/ исключается возможность ошибок в отчетности
st010,Регулятор,Просмотр отчетности и документации,-,+,Отсутвствие аудита в системе,-,+,Возможность проверять систему и стартап/ благодаря появлению отчетности
st011,Маркетолог,Разработка личного бренда стартапа,-,+,,-,+,
st011,Маркетолог,Размещение рекламы,-,-,,-,-,
st011,Маркетолог,Разработка маркетинговой стратегии,-,-,Стартап проигрывает конкурентам в скорости/ качеству доставки,-,-,Система позволит ускорить процессы компании
st012,HR,Размещение вакансий,-,-,,-,-,
st012,HR,Собеседование кандидатов,-,+,Условия труда ниже рынка,-,+,Система позволит автоматизировать многие действия/ ускорить связи/ что для работы курьеров критично
st012,HR,Оформление необходимых документов,-,+,,-,+,
st012,HR,Обучение персонала,-,+,,-,+,
st013,Конкуренты,Осуществление своей деятельности,-,+,Развитие конкурентов/ необходимость в постоянном улучшении софта,-,+,Создание боллее современной системы
